"","college","income","overage","leftover","house","handset_price","over_15mins_calls_per_month","average_call_duration","reported_satisfaction","reported_usage_level","considering_change_of_plan","leave"
"11527","0",1.27022548980139,1.34781812983872,-0.888095664471315,0.859868316770638,1.62491651844956,1.56309595730171,1.35735844701417,"avg","little","considering","LEAVE"
"11295","1",-0.732936088651498,-1.00250275986383,-0.888095664471315,-0.0756183681773948,-1.21306854659837,-0.897547756452075,-1.1370302290688,"very_unsat","very_high","no","STAY"
"1480","0",-0.388239162409719,-0.455645919190469,0.640343985060735,1.90310255792372,-0.324737142382376,-0.562005431849287,-1.1370302290688,"very_unsat","very_high","considering","LEAVE"
"9076","0",-0.210548232333595,-1.00250275986383,-0.888095664471315,0.201955989402984,-1.03540226575517,-0.897547756452075,1.13059584009754,"very_unsat","little","considering","STAY"
"7465","0",-0.291811227455371,-1.00250275986383,-0.888095664471315,-1.25582582282301,-0.553833136101237,-0.785700314917812,1.35735844701417,"unsat","little","considering","STAY"
"6625","0",1.22211932995335,-1.00250275986383,-0.888095664471315,-1.28748199536178,1.5734868055739,-0.450157990315024,1.58412105393081,"avg","little","considering","STAY"
"18947","0",-1.19847338853545,-0.327658147969043,-0.888095664471315,-0.608369072482501,-0.820332557366035,-0.562005431849287,0.677070626264272,"avg","very_high","actively_looking_into_it","LEAVE"
"5621","1",1.22652746412269,-0.432375415332028,-0.515305506048864,-0.667799730070632,2.29350278583318,-0.338310548780761,-0.456742408318897,"unsat","very_high","considering","LEAVE"
"4907","0",-1.35144043566179,-0.397469659544366,-0.888095664471315,1.48640201820244,-1.06813026485786,-0.562005431849287,1.13059584009754,"very_sat","little","no","LEAVE"
"2920","0",-0.904206475480973,-0.211305628676838,-0.552584521891109,-0.65077026350575,-0.829683414252519,0.892011308096129,-0.229979801402264,"very_unsat","high","actively_looking_into_it","LEAVE"
"19579","0",1.62831451930763,-1.00250275986383,-0.888095664471315,1.88535147019124,1.19945253011454,-0.897547756452075,2.03764626776407,"very_sat","very_high","no","STAY"
